,causal_model_name,model_t,model_y,est_ate,true_ate,mu_risk,tao_risk,run_time,data,file_name,best_model_y_params,best_model_t_params
61,LinearDML,str,LogisticRegressionCV,0.263928182178046,0.216588097389286,,0.0022410836278069,92.60271406173706,acic,high2648,,
62,LinearDML,RandomForestClassifier,MLPClassifier,0.1368879648077983,0.216588097389286,,0.0063521111335067,123.40127992630003,acic,high2648,,
63,LinearDML,LogisticRegressionCV,MLPClassifier,0.2214815303876514,0.216588097389286,,2.394568650949214e-05,115.763934135437,acic,high2648,,
64,LinearDML,MLPClassifier,MLPClassifier,0.1368234096613485,0.216588097389286,,0.0063624054083353,93.48314476013184,acic,high2648,,
65,LinearDML,str,MLPClassifier,0.2373187753746821,0.216588097389286,,0.0004297610097341,96.0734851360321,acic,high2648,,
66,LinearDML,RandomForestClassifier,str,0.1168892961995661,0.216588097389286,,0.0099398509586672,7188.968812942505,acic,high2648,,
67,LinearDML,LogisticRegressionCV,str,0.139949843307312,0.216588097389286,,0.0058734219887331,6725.296784877777,acic,high2648,,
68,LinearDML,MLPClassifier,str,0.0933761721855893,0.216588097389286,,0.0151811785124013,7290.481784105301,acic,high2648,,
69,LinearDML,str,str,0.2768559413918703,0.216588097389286,,0.0036322130207198,7719.873171806335,acic,high2648,,
70,KernelDML,RandomForestClassifier,RandomForestClassifier,0.1674819351446115,0.216588097389286,,0.0024114151704002,2.5656650066375732,acic,high2648,,
71,KernelDML,LogisticRegressionCV,RandomForestClassifier,0.1483596509499775,0.216588097389286,,0.0046551209035215,3.2148611545562744,acic,high2648,,
72,KernelDML,MLPClassifier,RandomForestClassifier,0.1580362429147757,0.216588097389286,,0.0034283196624042,17.6428439617157,acic,high2648,,
73,KernelDML,str,RandomForestClassifier,0.1891487124040207,0.216588097389286,,0.0007529198483695,13.144466876983644,acic,high2648,,
74,KernelDML,RandomForestClassifier,LogisticRegressionCV,0.1412408639838977,0.216588097389286,,0.005677205581846,3.520395994186402,acic,high2648,,
75,KernelDML,LogisticRegressionCV,LogisticRegressionCV,0.1552157251734561,0.216588097389286,,0.0037665680713983,3.420103073120117,acic,high2648,,
76,KernelDML,MLPClassifier,LogisticRegressionCV,0.1522008685630502,0.216588097389286,,0.004145715235922,17.821006059646606,acic,high2648,,
77,KernelDML,str,LogisticRegressionCV,0.2048936545683442,0.216588097389286,,0.0001367599928922,13.554834842681885,acic,high2648,,
78,KernelDML,RandomForestClassifier,MLPClassifier,0.1663362358228695,0.216588097389286,,0.0025252495908902,15.951030015945436,acic,high2648,,
79,KernelDML,LogisticRegressionCV,MLPClassifier,0.1844040360884855,0.216588097389286,,0.0010358138018136,15.460742950439451,acic,high2648,,
80,KernelDML,MLPClassifier,MLPClassifier,0.1942227355106256,0.216588097389286,,0.0005002094119634,28.85991907119751,acic,high2648,,
